"Община","Име на атракция","Вид на атракция","Собственост","Статут","Достъпност за посещение","Местоположение","Транспортна достъпност и връзки","Видимост и ориентация","Среда","Туристическа инфраструктура","Съпътстващи атракции","Публични услуги","Интернет ресурси"
"Аврен","АСТРОНОМИЧЕСКА ОБСЕРВАТОРИЯ","Обсерватория","Общинска публична собственост, акт № 147/16.07.2001 г.","","Безплатно/ целогодишно","с. Аврен","Асфалтов път","да","Градска","Места за настаняване","-","Има",""
"Аврен","ЕТНОГРАФСКИ КОМПЛЕКС СВ. СВ. КОНСТАНТИН И ЕЛЕНА","Етнографски комплекс","Общинска публична собственост, акт № 2307/06.03.2014 г.","","Безплатно/ сезонно","с. Царевци","Асфалтов път","да","Градска","Места за настаняване","-","Има",""
"Аврен","СРЕДНОВЕКОВЕН СКАЛЕН МАНАСТИР БЛАГОВЕЩЕНИЕ","Скален манастир","Общинска публична собственост, акт № 2049/21.07.2012 г.","","Безплатно/ сезонно","с. Аврен, местност Кишишлика","Асфалтов и полски път","да","Природна","Места за настаняване","-","Има",""
"Аврен","ПЕТРИЧ КАЛЕ","Исторически паметник","Общинска публична собственост, акт № 2284/13.11.2013 г.","","Безплатно/ сезонно","с. Аврен, местност Петрича","Полски път","да","Природна","Места за настаняване","-","-",""
"Аврен","КУРОРТЕН КОМПЛЕКС КАМЧИЯ","Курортен комплекс","Държавна/ частна","","Безплатно/ целогодишно","община Аврен","Асфалтов път","да","Природна","Места за настаняване","Има","Има",""
"Аксаково","ЦЪРКОВЕН ХРАМ СВЕТИ ПРОРОК ИЛИЯ","Църква","-","Паметник на културата","Безплатно, целогодишно","с. Ботево, 30 км от Аксаково","Общински път в добро състояние","","Градска","Места за настаняване","-","-",""
"Аксаково","ЦЪРКОВЕН ХРАМ СВ. СВ. КОНСТАНТИН И ЕЛЕНА","Църква","-","Паметник на културата","Безплатно, целогодишно","с. Климентово, 28 км от Аксаково","Общински път в добро състояние","","Градска","Места за настаняване","-","-",""
"Аксаково","ЦЪРКОВЕН ХРАМ СВЕТО УСПЕНИЕ БОГОРОДИЧНО","Църква","-","От регионално и местно значение","Безплатно, целогодишно","гр. Аксаково","Общински път в добро състояние","","Градска","Места за настаняване","-","-",""
"Аксаково","МЕСТНОСТ БАТОВА","Местност","Смесена","От регионално и местно значение","Безплатно, сезонно, няма екскурзоводи","с. Долище, на 20 км от Аксаково","Общински път в добро състояние","","Природна","Места за настаняване","-","-",""
"Аксаково","ЕКО СЕЛИЩЕ ДОБРОГЛЕД","Еко парк","Частна","От регионално и местно значение","Платено, сезонно, няма екскурзоводи","с. Доброглед, на 8 км от гр. Аксаково в северозапна посока","Общински път в добро състояние","","Природна","Места за настаняване","Има","-",""
"Аксаково","ПОБИТИ КАМЪНИ","Природен парк","Държавна","От национално значение","Платено, целогодишно, екскурзовод","На 35 км на запад от Варна","Обществен транспорт, път от републиканската пътна мрежа в много добро състояние","","Природна","Места за настаняване","Има","Има",""
"Аксаково","МЕСТНОСТ КАЛЕТО","Местност","-","","-","с. Осеново, 30 км от Аксаково","-","","Природна","Места за настаняване","-","-",""
"Аксаково","МАНАСТИР СВЕТА МАРИНА","Манастир","-","","Безплатно, целогодишно","Местност Св. Марина, между с. Ботево и с. Радево, на 30 км от Аксаково","Общински път в добро състояние","","Природна","Места за настаняване","-","-",""
"Белослав","ЗАЩИТЕНА МЕСТНОСТ ЯТАТА","Защитена местност","Изключителна държавна собственост","","-","На 2 км. От гр. Белослав","Третокласен път VAR 9004 Варна- с. Разделна","","-","Места за настаняване","-","-",""
"Белослав","МУЗЕЙ НА СТЪКЛОТО","Музей","Частна","","-","гр. Белослав","Има изградена добра пътна инфраструктура, Моторен ферибот ""Белослав""","","Градска","Места за настаняване","-","-",""
